flight_number,airline_code,origin_airport,destination_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,delay_reason,distance,weather_condition,day_of_week,month,is_delayed
NK1488,NK,BOS,DAD,2025-02-16 11:49:00,2025-02-16 11:49:00,2025-02-17 13:59:00,2025-02-17 13:54:00,0,,12498.1,Rain,6,2,0
AA737,AA,ORD,LAX,2025-05-12 18:18:00,2025-05-12 18:18:00,2025-05-12 23:00:00,2025-05-12 22:57:00,0,,2176.3,Cloudy,0,5,0
VN1307,VN,HAN,MIA,2025-07-25 09:06:00,2025-07-25 09:06:00,2025-07-26 11:54:00,2025-07-26 11:56:00,0,,12844.4,Cloudy,4,7,0
NK587,NK,SFO,DFW,2025-02-03 23:36:00,2025-02-03 23:36:00,2025-02-04 03:10:00,2025-02-04 03:13:00,0,,1778.5,Snow,0,2,0
AA7835,AA,SFO,MIA,2025-12-30 17:09:00,2025-12-30 17:24:00,2025-12-30 23:29:00,2025-12-30 23:47:00,15,Weather,3016.8,Fog,1,12,1
WN8511,WN,DEN,BOS,2025-09-17 23:38:00,2025-09-17 23:38:00,2025-09-18 04:37:00,2025-09-18 04:33:00,0,,2329.3,Clear,2,9,0
NK2445,NK,ORD,SEA,2025-03-07 15:54:00,2025-03-07 15:54:00,2025-03-07 21:01:00,2025-03-07 20:56:00,0,,2403.6,Clear,4,3,0
F93959,F9,SEA,HAN,2025-07-18 23:39:00,2025-07-18 23:39:00,2025-07-20 08:45:00,2025-07-20 08:40:00,0,,15843.7,Clear,4,7,0
UA1118,UA,ATL,SEA,2025-01-10 05:04:00,2025-01-10 05:04:00,2025-01-10 10:41:00,2025-01-10 10:39:00,0,,2782.1,Clear,4,1,0
NK5018,NK,SEA,JFK,2025-11-09 20:03:00,2025-11-09 20:37:00,2025-11-10 03:00:00,2025-11-10 03:34:00,34,Late Aircraft,3381.4,Clear,6,11,1
DL9087,DL,JFK,SEA,2025-03-16 06:59:00,2025-03-16 07:06:00,2025-03-16 13:56:00,2025-03-16 14:07:00,7,,3381.4,Clear,6,3,0
UA6202,UA,SFO,MIA,2025-08-06 22:30:00,2025-08-06 22:30:00,2025-08-07 04:37:00,2025-08-07 04:33:00,0,,3016.8,Clear,2,8,0
F93612,F9,LAX,SFO,2025-05-20 18:56:00,2025-05-20 19:01:00,2025-05-20 19:56:00,2025-05-20 20:02:00,5,,373.5,Clear,1,5,0
B64532,B6,BOS,SFO,2025-12-28 10:49:00,2025-12-28 10:49:00,2025-12-28 18:13:00,2025-12-28 18:13:00,0,,3559.6,Clear,6,12,0
VN6188,VN,ATL,HAN,2025-04-15 14:32:00,2025-04-15 16:37:00,2025-04-16 18:00:00,2025-04-16 20:08:00,125,Late Aircraft,13154.1,Fog,1,4,1
NK8540,NK,DAD,LAX,2025-02-04 05:56:00,2025-02-04 05:58:00,2025-02-05 14:43:00,2025-02-05 14:47:00,2,,15684.6,Clear,1,2,0
DL350,DL,LAX,BOS,2025-03-23 16:53:00,2025-03-23 16:53:00,2025-03-23 23:56:00,2025-03-23 23:59:00,0,,3321.7,Clear,6,3,0
F96436,F9,DEN,BOS,2025-05-14 15:03:00,2025-05-14 15:03:00,2025-05-14 20:03:00,2025-05-14 19:58:00,0,,2329.3,Clear,2,5,0
AS4655,AS,BOS,DEN,2025-01-13 10:01:00,2025-01-13 10:18:00,2025-01-13 14:48:00,2025-01-13 15:03:00,17,Carrier Delay,2329.3,Snow,0,1,1
VJ9090,VJ,DFW,SEA,2025-04-01 07:12:00,2025-04-01 07:12:00,2025-04-01 11:25:00,2025-04-01 11:25:00,0,,2011.9,Clear,1,4,0
UA122,UA,BOS,DEN,2025-10-04 21:31:00,2025-10-04 21:55:00,2025-10-05 02:13:00,2025-10-05 02:41:00,24,Carrier Delay,2329.3,Fog,5,10,1
F98243,F9,ORD,MIA,2025-07-04 21:03:00,2025-07-04 21:32:00,2025-07-04 23:41:00,2025-07-05 00:10:00,29,Weather,1233.9,Rain,4,7,1
NK1109,NK,LAX,DAD,2025-04-20 13:41:00,2025-04-20 13:42:00,2025-04-21 22:21:00,2025-04-21 22:21:00,1,,15684.6,Clear,6,4,0
NK1130,NK,SEA,DFW,2025-08-30 13:48:00,2025-08-30 13:51:00,2025-08-30 17:50:00,2025-08-30 17:53:00,3,,2011.9,Clear,5,8,0
DL3597,DL,ATL,MIA,2025-06-26 19:21:00,2025-06-26 19:22:00,2025-06-26 20:31:00,2025-06-26 20:37:00,1,,612.1,Rain,3,6,0
AS9862,AS,SFO,HAN,2025-06-21 23:02:00,2025-06-21 23:02:00,2025-06-23 07:49:00,2025-06-23 07:45:00,0,,15785.4,Clear,5,6,0
DL9377,DL,SFO,HAN,2025-02-11 19:35:00,2025-02-11 20:55:00,2025-02-13 04:19:00,2025-02-13 05:38:00,80,National Aviation System,15785.4,Rain,1,2,1
AA3547,AA,MIA,SFO,2025-01-10 12:41:00,2025-01-10 12:45:00,2025-01-10 18:58:00,2025-01-10 19:07:00,4,,3016.8,Cloudy,4,1,0
VJ897,VJ,LAX,ORD,2025-02-28 21:22:00,2025-02-28 21:22:00,2025-03-01 01:46:00,2025-03-01 01:43:00,0,,2176.3,Snow,4,2,0
AA6190,AA,SFO,DFW,2025-03-01 08:51:00,2025-03-01 08:51:00,2025-03-01 12:34:00,2025-03-01 12:29:00,0,,1778.5,Rain,5,3,0
AA8828,AA,ORD,DFW,2025-06-17 13:26:00,2025-06-17 13:28:00,2025-06-17 15:21:00,2025-06-17 15:24:00,2,,888.4,Clear,1,6,0
NK243,NK,DAD,MIA,2025-06-14 14:09:00,2025-06-14 15:34:00,2025-06-15 17:25:00,2025-06-15 18:53:00,85,Late Aircraft,13023.0,Clear,5,6,1
VN1220,VN,HAN,LAX,2025-11-23 08:13:00,2025-11-23 08:13:00,2025-11-24 16:20:00,2025-11-24 16:19:00,0,,15495.7,Clear,6,11,0
WN8767,WN,BOS,DAD,2025-10-17 21:28:00,2025-10-17 22:11:00,2025-10-18 23:35:00,2025-10-19 00:14:00,43,Security,12498.1,Cloudy,4,10,1
AA8658,AA,DAD,LAX,2025-04-03 18:05:00,2025-04-03 19:10:00,2025-04-05 02:39:00,2025-04-05 03:39:00,65,Security,15684.6,Rain,3,4,1
WN4739,WN,SGN,HAN,2025-10-10 19:04:00,2025-10-10 19:04:00,2025-10-10 20:39:00,2025-10-10 20:42:00,0,,720.1,Cloudy,4,10,0
VJ7490,VJ,HAN,SEA,2025-03-06 10:56:00,2025-03-06 10:56:00,2025-03-07 20:04:00,2025-03-07 20:07:00,0,,15843.7,Cloudy,3,3,0
DL7334,DL,JFK,ATL,2025-05-03 20:14:00,2025-05-03 20:14:00,2025-05-03 22:05:00,2025-05-03 22:06:00,0,,879.4,Cloudy,5,5,0
F99412,F9,MIA,SFO,2025-10-09 20:45:00,2025-10-09 21:37:00,2025-10-10 02:52:00,2025-10-10 03:39:00,52,National Aviation System,3016.8,Cloudy,3,10,1
AA553,AA,DEN,DFW,2025-09-30 06:16:00,2025-09-30 06:16:00,2025-09-30 07:52:00,2025-09-30 07:51:00,0,,712.6,Cloudy,1,9,0
DL2306,DL,SEA,DFW,2025-09-23 19:41:00,2025-09-23 20:01:00,2025-09-23 23:50:00,2025-09-24 00:07:00,20,Weather,2011.9,Snow,1,9,1
F92659,F9,MIA,BOS,2025-04-13 13:07:00,2025-04-13 13:07:00,2025-04-13 15:53:00,2025-04-13 15:53:00,0,,1310.3,Clear,6,4,0
DL6520,DL,ORD,HAN,2025-01-28 17:49:00,2025-01-28 18:36:00,2025-01-29 21:53:00,2025-01-29 22:39:00,47,Carrier Delay,13442.8,Rain,1,1,1
F9611,F9,SFO,ATL,2025-07-31 07:27:00,2025-07-31 08:24:00,2025-07-31 12:54:00,2025-07-31 13:49:00,57,Weather,2633.0,Snow,3,7,1
F96074,F9,LAX,SEA,2025-12-17 15:50:00,2025-12-17 15:50:00,2025-12-17 17:48:00,2025-12-17 17:47:00,0,,970.1,Clear,2,12,0
NK9387,NK,BOS,LAX,2025-10-06 18:22:00,2025-10-06 18:22:00,2025-10-07 01:16:00,2025-10-07 01:20:00,0,,3321.7,Clear,0,10,0
B66635,B6,ORD,MIA,2025-12-20 18:36:00,2025-12-20 18:58:00,2025-12-20 21:13:00,2025-12-20 21:34:00,22,National Aviation System,1233.9,Rain,5,12,1
AS1837,AS,SFO,ORD,2025-04-18 22:18:00,2025-04-18 22:18:00,2025-04-19 03:18:00,2025-04-19 03:17:00,0,,2397.4,Clear,4,4,0
UA4795,UA,MIA,ORD,2025-11-25 12:43:00,2025-11-25 12:45:00,2025-11-25 15:19:00,2025-11-25 15:26:00,2,,1233.9,Cloudy,1,11,0
WN2059,WN,LAX,HAN,2025-10-06 16:02:00,2025-10-06 16:02:00,2025-10-08 00:25:00,2025-10-08 00:25:00,0,,15495.7,Cloudy,0,10,0
NK7168,NK,DFW,SEA,2025-07-18 09:19:00,2025-07-18 09:19:00,2025-07-18 13:31:00,2025-07-18 13:28:00,0,,2011.9,Snow,4,7,0
DL9450,DL,ORD,BOS,2025-05-23 06:34:00,2025-05-23 07:41:00,2025-05-23 08:52:00,2025-05-23 10:04:00,67,Air Traffic Control,1166.3,Cloudy,4,5,1
B66039,B6,MIA,SFO,2025-06-03 23:24:00,2025-06-03 23:31:00,2025-06-04 05:31:00,2025-06-04 05:35:00,7,,3016.8,Clear,1,6,0
VN1076,VN,MIA,HAN,2025-06-25 09:37:00,2025-06-25 09:46:00,2025-06-26 12:30:00,2025-06-26 12:39:00,9,,12844.4,Clear,2,6,0
NK9947,NK,HAN,ATL,2025-11-22 09:28:00,2025-11-22 11:15:00,2025-11-23 12:51:00,2025-11-23 14:35:00,107,National Aviation System,13154.1,Clear,5,11,1
AA3644,AA,SFO,ATL,2025-01-03 10:20:00,2025-01-03 10:21:00,2025-01-03 15:56:00,2025-01-03 15:56:00,1,,2633.0,Cloudy,4,1,0
NK6038,NK,SGN,ORD,2025-10-10 11:17:00,2025-10-10 11:17:00,2025-10-11 15:45:00,2025-10-11 15:46:00,0,,13595.6,Rain,4,10,0
VN6690,VN,DAD,ATL,2025-01-07 16:40:00,2025-01-07 16:57:00,2025-01-08 20:37:00,2025-01-08 20:55:00,17,Security,13346.6,Cloudy,1,1,1
WN4186,WN,ATL,SFO,2025-11-17 09:11:00,2025-11-17 09:11:00,2025-11-17 14:35:00,2025-11-17 14:38:00,0,,2633.0,Cloudy,0,11,0
VN427,VN,BOS,SFO,2025-11-13 06:00:00,2025-11-13 06:00:00,2025-11-13 13:29:00,2025-11-13 13:24:00,0,,3559.6,Snow,3,11,0
NK8120,NK,ORD,HAN,2025-04-29 13:28:00,2025-04-29 13:28:00,2025-04-30 17:31:00,2025-04-30 17:36:00,0,,13442.8,Rain,1,4,0
VJ4890,VJ,LAX,ORD,2025-08-10 21:08:00,2025-08-10 21:08:00,2025-08-11 01:46:00,2025-08-11 01:46:00,0,,2176.3,Cloudy,6,8,0
F99346,F9,BOS,DFW,2025-09-16 16:48:00,2025-09-16 17:21:00,2025-09-16 20:51:00,2025-09-16 21:19:00,33,National Aviation System,1911.2,Fog,1,9,1
WN3487,WN,SEA,BOS,2025-02-21 11:59:00,2025-02-21 11:59:00,2025-02-21 19:18:00,2025-02-21 19:22:00,0,,3557.0,Clear,4,2,0
WN6056,WN,BOS,SEA,2025-08-24 10:48:00,2025-08-24 10:52:00,2025-08-24 18:09:00,2025-08-24 18:16:00,4,,3557.0,Snow,6,8,0
B63751,B6,HAN,DAD,2025-04-25 08:54:00,2025-04-25 08:54:00,2025-04-25 09:54:00,2025-04-25 09:55:00,0,,393.5,Clear,4,4,0
UA5318,UA,DEN,DFW,2025-12-24 20:30:00,2025-12-24 20:30:00,2025-12-24 22:01:00,2025-12-24 21:59:00,0,,712.6,Cloudy,2,12,0
VN1514,VN,SFO,DAD,2025-02-24 17:45:00,2025-02-24 17:49:00,2025-02-26 02:56:00,2025-02-26 02:57:00,4,,15979.4,Clear,0,2,0
NK3761,NK,SEA,SFO,2025-10-27 22:23:00,2025-10-27 22:38:00,2025-10-27 23:56:00,2025-10-28 00:08:00,15,Security,678.2,Rain,0,10,1
AS8532,AS,ORD,MIA,2025-09-24 17:53:00,2025-09-24 18:12:00,2025-09-24 20:26:00,2025-09-24 20:50:00,19,Air Traffic Control,1233.9,Cloudy,2,9,1
B62662,B6,BOS,DFW,2025-12-19 09:01:00,2025-12-19 09:01:00,2025-12-19 12:55:00,2025-12-19 12:54:00,0,,1911.2,Clear,4,12,0
B63162,B6,MIA,HAN,2025-10-11 16:29:00,2025-10-11 16:29:00,2025-10-12 19:06:00,2025-10-12 19:08:00,0,,12844.4,Cloudy,5,10,0
DL9442,DL,MIA,HAN,2025-06-09 18:12:00,2025-06-09 18:44:00,2025-06-10 20:49:00,2025-06-10 21:23:00,32,Security,12844.4,Fog,0,6,1
VN1067,VN,BOS,DEN,2025-11-24 21:10:00,2025-11-24 22:20:00,2025-11-25 01:55:00,2025-11-25 03:00:00,70,Air Traffic Control,2329.3,Clear,0,11,1
B63206,B6,JFK,DFW,2025-09-18 13:17:00,2025-09-18 13:19:00,2025-09-18 16:51:00,2025-09-18 16:52:00,2,,1691.6,Clear,3,9,0
F93054,F9,DAD,SGN,2025-09-04 15:36:00,2025-09-04 15:38:00,2025-09-04 16:36:00,2025-09-04 16:41:00,2,,376.0,Clear,3,9,0
VN7612,VN,ORD,BOS,2025-09-16 15:25:00,2025-09-16 15:48:00,2025-09-16 17:53:00,2025-09-16 18:19:00,23,Weather,1166.3,Clear,1,9,1
UA2715,UA,DFW,DEN,2025-03-12 11:33:00,2025-03-12 11:33:00,2025-03-12 13:01:00,2025-03-12 13:05:00,0,,712.6,Rain,2,3,0
B63520,B6,JFK,DEN,2025-08-31 08:01:00,2025-08-31 09:09:00,2025-08-31 12:35:00,2025-08-31 13:43:00,68,Air Traffic Control,2132.5,Clear,6,8,1
B66290,B6,DEN,HAN,2025-05-30 23:44:00,2025-05-30 23:51:00,2025-06-01 06:09:00,2025-06-01 06:12:00,7,,14580.0,Rain,4,5,0
F92744,F9,SFO,DFW,2025-03-26 11:54:00,2025-03-26 11:59:00,2025-03-26 15:39:00,2025-03-26 15:39:00,5,,1778.5,Clear,2,3,0
UA6659,UA,LAX,MIA,2025-04-06 20:07:00,2025-04-06 20:07:00,2025-04-07 01:51:00,2025-04-07 01:52:00,0,,2689.7,Cloudy,6,4,0
WN8116,WN,HAN,DAD,2025-03-09 17:40:00,2025-03-09 17:40:00,2025-03-09 18:40:00,2025-03-09 18:45:00,0,,393.5,Cloudy,6,3,0
UA5043,UA,JFK,SGN,2025-05-14 14:32:00,2025-05-14 14:32:00,2025-05-15 16:39:00,2025-05-15 16:43:00,0,,12618.6,Clear,2,5,0
VJ6088,VJ,SGN,HAN,2025-10-17 06:30:00,2025-10-17 07:21:00,2025-10-17 07:59:00,2025-10-17 08:50:00,51,Carrier Delay,720.1,Rain,4,10,1
NK8119,NK,BOS,HAN,2025-01-20 14:37:00,2025-01-20 14:37:00,2025-01-21 16:02:00,2025-01-21 16:04:00,0,,12287.3,Clear,0,1,0
F92072,F9,DEN,DFW,2025-07-30 07:27:00,2025-07-30 10:15:00,2025-07-30 08:56:00,2025-07-30 11:45:00,168,Security,712.6,Rain,2,7,1
DL2715,DL,SEA,HAN,2025-08-24 19:13:00,2025-08-24 19:15:00,2025-08-26 04:20:00,2025-08-26 04:27:00,2,,15843.7,Rain,6,8,0
DL6635,DL,ORD,SFO,2025-02-13 07:20:00,2025-02-13 08:33:00,2025-02-13 12:16:00,2025-02-13 13:31:00,73,National Aviation System,2397.4,Cloudy,3,2,1
B69316,B6,HAN,LAX,2025-08-02 19:37:00,2025-08-02 19:37:00,2025-08-04 03:58:00,2025-08-04 03:55:00,0,,15495.7,Clear,5,8,0
WN9111,WN,DFW,SEA,2025-04-26 07:29:00,2025-04-26 07:29:00,2025-04-26 11:42:00,2025-04-26 11:45:00,0,,2011.9,Clear,5,4,0
WN1587,WN,LAX,BOS,2025-12-03 18:44:00,2025-12-03 19:22:00,2025-12-04 01:44:00,2025-12-04 02:19:00,38,Late Aircraft,3321.7,Rain,2,12,1
DL1560,DL,BOS,DEN,2025-08-03 06:43:00,2025-08-03 06:56:00,2025-08-03 11:34:00,2025-08-03 11:49:00,13,,2329.3,Cloudy,6,8,0
NK9655,NK,JFK,ATL,2025-01-20 05:44:00,2025-01-20 05:44:00,2025-01-20 07:43:00,2025-01-20 07:41:00,0,,879.4,Fog,0,1,0
UA1368,UA,ATL,ORD,2025-11-12 07:28:00,2025-11-12 07:28:00,2025-11-12 08:53:00,2025-11-12 08:49:00,0,,623.1,Clear,2,11,0
NK4383,NK,ORD,SEA,2025-12-28 23:29:00,2025-12-28 23:29:00,2025-12-29 04:33:00,2025-12-29 04:37:00,0,,2403.6,Clear,6,12,0
DL9456,DL,SEA,ATL,2025-02-23 17:06:00,2025-02-23 18:07:00,2025-02-23 22:43:00,2025-02-23 23:42:00,61,Weather,2782.1,Fog,6,2,1
VN5130,VN,LAX,BOS,2025-10-19 17:51:00,2025-10-19 17:53:00,2025-10-20 00:56:00,2025-10-20 01:00:00,2,,3321.7,Clear,6,10,0
AA6462,AA,JFK,ATL,2025-03-20 19:35:00,2025-03-20 19:59:00,2025-03-20 21:24:00,2025-03-20 21:49:00,24,Late Aircraft,879.4,Rain,3,3,1
VN2453,VN,ORD,SGN,2025-01-21 09:36:00,2025-01-21 12:09:00,2025-01-22 14:00:00,2025-01-22 16:34:00,153,Weather,13595.6,Rain,1,1,1
VJ1149,VJ,DFW,BOS,2025-04-22 06:02:00,2025-04-22 06:06:00,2025-04-22 09:53:00,2025-04-22 09:57:00,4,,1911.2,Fog,1,4,0
